2023-11-15 13:09:29.608 [info] Log level: Info
2023-11-15 13:09:29.608 [info] Validating found git in: "git"
2023-11-15 13:09:29.608 [info] Using git "2.20.1" from "git"
2023-11-15 13:09:29.608 [info] > git rev-parse --show-toplevel [11ms]
2023-11-15 13:09:29.608 [info] > git rev-parse --show-toplevel [3ms]
2023-11-15 13:09:29.608 [info] > git rev-parse --show-toplevel [3ms]
2023-11-15 13:09:29.608 [info] > git rev-parse --show-toplevel [3ms]
2023-11-15 13:09:29.608 [info] > git rev-parse --show-toplevel [10ms]
2023-11-15 13:09:29.615 [info] > git rev-parse --show-toplevel [3ms]
2023-11-15 13:09:36.868 [info] > git rev-parse --show-toplevel [9ms]
2023-11-15 13:09:40.798 [info] > git rev-parse --show-toplevel [46ms]
2023-11-15 13:09:41.811 [info] > git rev-parse --show-toplevel [47ms]
2023-11-15 13:09:46.101 [info] > git rev-parse --show-toplevel [28ms]
2023-11-15 13:09:48.621 [info] > git rev-parse --show-toplevel [8ms]
2023-11-15 13:14:51.174 [info] > git rev-parse --show-toplevel [60ms]
2023-11-15 13:14:56.999 [info] > git rev-parse --show-toplevel [44ms]
2023-11-15 13:15:00.740 [info] > git rev-parse --show-toplevel [11ms]
2023-11-15 13:15:01.140 [info] > git rev-parse --show-toplevel [22ms]
2023-11-15 13:15:01.705 [info] > git rev-parse --show-toplevel [43ms]
2023-11-15 13:15:04.934 [info] > git rev-parse --show-toplevel [33ms]
2023-11-15 13:15:05.915 [info] > git rev-parse --show-toplevel [20ms]
2023-11-15 13:15:07.023 [info] > git rev-parse --show-toplevel [37ms]
2023-11-15 13:46:33.419 [info] > git rev-parse --show-toplevel [104ms]
2023-11-15 13:46:35.593 [info] > git rev-parse --show-toplevel [6ms]
2023-11-15 13:46:35.985 [info] > git rev-parse --show-toplevel [4ms]
2023-11-15 15:17:23.588 [info] > git rev-parse --show-toplevel [24ms]
